numero_finess_etablissement;rsej;activite;libactivite;forme;libforme;numero finess etablissement juridique;raison_sociale;rslongue;code_commune;departement;libelle_departement;categetab;categorie;coordyet;coordxet;longitude;latitude;groupe_activites;code_insee
480000041;CH FLORAC TROIS RIVIERES;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);480780139;CH DE FLORAC TROIS RIVIERES;CENTRE HOSPITALIER DE FLORAC TROIS RIVIERES (HOP PROXIMITE);061;48;LOZERE;106;Centre hospitalier, ex Hôpital local;6358346.2;747788.3;3.5992139664533354;44.32251049562653;Médecine;48061
480000066;CH MARVEJOLS;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);480780154;CH ST JACQUES MARVEJOLS;CENTRE HOSPITALIER SAINT JACQUES MARVEJOLS (HOP PROXIMITE);092;48;LOZERE;106;Centre hospitalier, ex Hôpital local;6385002.3;723369.2;3.2942745960058315;44.56370705451736;Médecine;48092
480000074;CH LANGOGNE;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);480780162;CH LANGOGNE;CENTRE HOSPITALIER DE LANGOGNE (HOP PROXIMITE);080;48;LOZERE;106;Centre hospitalier, ex Hôpital local;6403220.6;766866.6;3.8444369622012333;44.72489376374759;Médecine;48080
660000167;CH PRADES;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);660780271;CH PRADES;CENTRE HOSPITALIER DE PRADES (HOP PROXIMITE);149;66;PYRENEES ORIENTALES;106;Centre hospitalier, ex Hôpital local;6170013.8;652490.8;2.4215835743158904;42.628237411853476;Médecine;66149
840000426;CENTRE HOSPITALIER DE GORDES;50;Soins de suite et de réadaptation non spécialisés;01;Hospitalisation complète (24 heures consécutives ou plus);840000061;CENTRE HOSPITALIER DE GORDES;CENTRE HOSPITALIER DE GORDES;050;84;VAUCLUSE;106;Centre hospitalier, ex Hôpital local;6315050.5;876706.8;5.200056579494787;43.91230257348421;Soins de suite;84050
840000426;CENTRE HOSPITALIER DE GORDES;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);840000061;CENTRE HOSPITALIER DE GORDES;CENTRE HOSPITALIER DE GORDES;050;84;VAUCLUSE;106;Centre hospitalier, ex Hôpital local;6315050.5;876706.8;5.200056579494787;43.91230257348421;Médecine;84050
840000434;CENTRE HOSPITALIER ISLE SUR LA SORGUE;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);840000079;CENTRE HOSPITALIER ISLE SUR LA SORGUE;CENTRE HOSPITALIER DE L'ISLE SUR LA SORGUE;054;84;VAUCLUSE;106;Centre hospitalier, ex Hôpital local;6315586.9;864586.6;5.04939972083522;43.92006279732733;Médecine;84054
840000434;CENTRE HOSPITALIER ISLE SUR LA SORGUE;50;Soins de suite et de réadaptation non spécialisés;01;Hospitalisation complète (24 heures consécutives ou plus);840000079;CENTRE HOSPITALIER ISLE SUR LA SORGUE;CENTRE HOSPITALIER DE L'ISLE SUR LA SORGUE;054;84;VAUCLUSE;106;Centre hospitalier, ex Hôpital local;6315586.9;864586.6;5.04939972083522;43.92006279732733;Soins de suite;84054
840000517;CENTRE HOSPITALIER DE SAULT;50;Soins de suite et de réadaptation non spécialisés;01;Hospitalisation complète (24 heures consécutives ou plus);840000103;CENTRE HOSPITALIER DE SAULT;CENTRE HOSPITALIER DE SAULT;123;84;VAUCLUSE;106;Centre hospitalier, ex Hôpital local;6336631.7;893307.9;5.414837358159679;44.102083945149374;Soins de suite;84123
070780226;CANSSM FILIERIS;54;Soins de suite et de réadaptation spécialisés - Affections respiratoires;01;Hospitalisation complète (24 heures consécutives ou plus);750050759;SSR FILIERIS DES VANS;SSR FILIERIS DES VANS;100;07;ARDECHE;109;Etablissement de santé privé autorisé en SSR;6369769.0;786909.3;4.091681016289712;44.421558634820784;Soins de suite;07100
130008048;CLINIQUE SAINT MARTIN SUD MARSEILLE;50;Soins de suite et de réadaptation non spécialisés;01;Hospitalisation complète (24 heures consécutives ou plus);130043169;CLINIQUE SAINT MARTIN SUD MARSEILLE;CLINIQUE SAINT MARTIN SUD MARSEILLE;209;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6243059.8;895600.5;5.4078260961376134;43.25988160112781;Soins de suite;13209
130008238;CLINIQUE LA PHOCEANNE SUD;50;Soins de suite et de réadaptation non spécialisés;01;Hospitalisation complète (24 heures consécutives ou plus);130044118;CLINIQUE LA PHOCEANNE SUD;CLINIQUE LA PHOCEANNE SUD;209;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6243059.8;895600.5;5.4078260961376134;43.25988160112781;Soins de suite;13209
130008238;CLINIQUE LA PHOCEANNE SUD;50;Soins de suite et de réadaptation non spécialisés;02;Hospitalisation à temps partiel de jour ou de nuit;130044118;CLINIQUE LA PHOCEANNE SUD;CLINIQUE LA PHOCEANNE SUD;209;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6243059.8;895600.5;5.4078260961376134;43.25988160112781;Soins de suite;13209
130008238;CLINIQUE LA PHOCEANNE SUD;59;Soins de suite et de réadaptation spécialisés - Affections de la personne âgée polypathologique, dépendante ou à risque de dépendance;01;Hospitalisation complète (24 heures consécutives ou plus);130044118;CLINIQUE LA PHOCEANNE SUD;CLINIQUE LA PHOCEANNE SUD;209;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6243059.8;895600.5;5.4078260961376134;43.25988160112781;Soins de suite;13209
130008238;CLINIQUE LA PHOCEANNE SUD;59;Soins de suite et de réadaptation spécialisés - Affections de la personne âgée polypathologique, dépendante ou à risque de dépendance;02;Hospitalisation à temps partiel de jour ou de nuit;130044118;CLINIQUE LA PHOCEANNE SUD;CLINIQUE LA PHOCEANNE SUD;209;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6243059.8;895600.5;5.4078260961376134;43.25988160112781;Soins de suite;13209
130035793;CLINIQUE GLANUM;50;Soins de suite et de réadaptation non spécialisés;01;Hospitalisation complète (24 heures consécutives ou plus);130013139;CLINIQUE GLANUM;CLINIQUE GLANUM;100;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6301583.7;847654.2;4.834590806461764;43.79783101632804;Soins de suite;13100
130035793;CLINIQUE GLANUM;50;Soins de suite et de réadaptation non spécialisés;02;Hospitalisation à temps partiel de jour ou de nuit;130013139;CLINIQUE GLANUM;CLINIQUE GLANUM;100;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6301583.7;847654.2;4.834590806461764;43.79783101632804;Soins de suite;13100
130042526;KORIAN LES TROIS TOURS;50;Soins de suite et de réadaptation non spécialisés;01;Hospitalisation complète (24 heures consécutives ou plus);310021399;CLINIQUE LES TROIS TOURS;CLINIQUE LES TROIS TOURS;031;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6257071.4;910539.5;5.597267626021641;43.38160557368976;Soins de suite;13031
130042526;KORIAN LES TROIS TOURS;50;Soins de suite et de réadaptation non spécialisés;02;Hospitalisation à temps partiel de jour ou de nuit;310021399;CLINIQUE LES TROIS TOURS;CLINIQUE LES TROIS TOURS;031;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6257071.4;910539.5;5.597267626021641;43.38160557368976;Soins de suite;13031
130043318;ASSOC CLIMATIQUE D'AIDE A L'ENFANCE;55;Soins de suite et de réadaptation spécialisés - Affections des systèmes digestif, métabolique et endocrinien;01;Hospitalisation complète (24 heures consécutives ou plus);130043300;SSR PEDIATRIQUE VAL PRE VERT;SSR PEDIATRIQUE VAL PRE VERT;062;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6261361.3;903815.9;5.516066360231743;43.42213698413;Soins de suite;13062
130043318;ASSOC CLIMATIQUE D'AIDE A L'ENFANCE;50;Soins de suite et de réadaptation non spécialisés;01;Hospitalisation complète (24 heures consécutives ou plus);130043300;SSR PEDIATRIQUE VAL PRE VERT;SSR PEDIATRIQUE VAL PRE VERT;062;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6261361.3;903815.9;5.516066360231743;43.42213698413;Soins de suite;13062
130043318;ASSOC CLIMATIQUE D'AIDE A L'ENFANCE;50;Soins de suite et de réadaptation non spécialisés;02;Hospitalisation à temps partiel de jour ou de nuit;130043300;SSR PEDIATRIQUE VAL PRE VERT;SSR PEDIATRIQUE VAL PRE VERT;062;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6261361.3;903815.9;5.516066360231743;43.42213698413;Soins de suite;13062
130043318;ASSOC CLIMATIQUE D'AIDE A L'ENFANCE;55;Soins de suite et de réadaptation spécialisés - Affections des systèmes digestif, métabolique et endocrinien;02;Hospitalisation à temps partiel de jour ou de nuit;130043300;SSR PEDIATRIQUE VAL PRE VERT;SSR PEDIATRIQUE VAL PRE VERT;062;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6261361.3;903815.9;5.516066360231743;43.42213698413;Soins de suite;13062
130043508;LES SALINS DE BREGILLE;52;Soins de suite et de réadaptation spécialisés - Affections du système nerveux;02;Hospitalisation à temps partiel de jour ou de nuit;250002284;UNITE PEDIATRIQUE POMPONIANA MARSEILLE;UNITE PEDIATRIQUE POMPONIANA MARSEILLE;209;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6243949.8;896240.7;5.416037110524097;43.26770790119604;Soins de suite;13209
130043508;LES SALINS DE BREGILLE;51;Soins de suite et de réadaptation spécialisés - Affections de l'appareil locomoteur;02;Hospitalisation à temps partiel de jour ou de nuit;250002284;UNITE PEDIATRIQUE POMPONIANA MARSEILLE;UNITE PEDIATRIQUE POMPONIANA MARSEILLE;209;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6243949.8;896240.7;5.416037110524097;43.26770790119604;Soins de suite;13209
130043508;LES SALINS DE BREGILLE;50;Soins de suite et de réadaptation non spécialisés;01;Hospitalisation complète (24 heures consécutives ou plus);250002284;UNITE PEDIATRIQUE POMPONIANA MARSEILLE;UNITE PEDIATRIQUE POMPONIANA MARSEILLE;209;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6243949.8;896240.7;5.416037110524097;43.26770790119604;Soins de suite;13209
130043508;LES SALINS DE BREGILLE;50;Soins de suite et de réadaptation non spécialisés;02;Hospitalisation à temps partiel de jour ou de nuit;250002284;UNITE PEDIATRIQUE POMPONIANA MARSEILLE;UNITE PEDIATRIQUE POMPONIANA MARSEILLE;209;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6243949.8;896240.7;5.416037110524097;43.26770790119604;Soins de suite;13209
130043508;LES SALINS DE BREGILLE;52;Soins de suite et de réadaptation spécialisés - Affections du système nerveux;01;Hospitalisation complète (24 heures consécutives ou plus);250002284;UNITE PEDIATRIQUE POMPONIANA MARSEILLE;UNITE PEDIATRIQUE POMPONIANA MARSEILLE;209;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6243949.8;896240.7;5.416037110524097;43.26770790119604;Soins de suite;13209
130043508;LES SALINS DE BREGILLE;51;Soins de suite et de réadaptation spécialisés - Affections de l'appareil locomoteur;01;Hospitalisation complète (24 heures consécutives ou plus);250002284;UNITE PEDIATRIQUE POMPONIANA MARSEILLE;UNITE PEDIATRIQUE POMPONIANA MARSEILLE;209;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6243949.8;896240.7;5.416037110524097;43.26770790119604;Soins de suite;13209
130043854;UGECAM PACA CORSE SIEGE;50;Soins de suite et de réadaptation non spécialisés;02;Hospitalisation à temps partiel de jour ou de nuit;130037815;CSSR VALMANTE SITE HOPITAL EUROPEEN;CSSR VALMANTE SITE HOPITAL EUROPEEN;203;13;BOUCHES DU RHONE;109;Etablissement de santé privé autorisé en SSR;6248614.4;892522.1;5.372007596389252;43.31066346031089;Soins de suite;13203
