Unnamed: 0,code_insee,nom_standard,nom_sans_accent,nom_standard_majuscule,typecom,typecom_texte,reg_code,reg_nom,dep_code,dep_nom,canton_code,canton_nom,epci_code,epci_nom,code_postal,zone_emploi,code_insee_centre_zone_emploi,code_unite_urbaine,taille_unite_urbaine,population,superficie_hectare,superficie_km2,densite,latitude_centre,longitude_centre,grille_densite,grille_densite_texte,distance_urgence_km
16952,46239,Le Roc,le-roc,LE ROC,COM,commune,76,Occitanie,46,Lot,4617,Souillac,200066371,CC Causses et Vallée de la Dordogne,46200.0,7619.0,46128,46000,0.0,208,697,7,30.0,44.865,1.439,7,Rural à habitat très dispersé,15.651181768563053
16953,46240,Rocamadour,rocamadour,ROCAMADOUR,COM,commune,76,Occitanie,46,Lot,4610,Gramat,200066371,CC Causses et Vallée de la Dordogne,46500.0,7619.0,46128,46000,0.0,611,4934,49,12.0,44.815,1.622,7,Rural à habitat très dispersé,21.705007348982292
16954,46241,Rouffilhac,rouffilhac,ROUFFILHAC,COM,commune,76,Occitanie,46,Lot,4609,Gourdon,244600482,CC Quercy - Bouriane,46300.0,7607.0,46042,46000,0.0,189,648,6,29.0,44.797,1.414,6,Rural à habitat dispersé,7.893046552046405
16955,46242,Rudelle,rudelle,RUDELLE,COM,commune,76,Occitanie,46,Lot,4611,Lacapelle-Marival,200067361,CC Grand-Figeac,46120.0,7619.0,46128,46000,0.0,182,679,7,27.0,44.729,1.878,6,Rural à habitat dispersé,14.86975347559726
16956,46243,Rueyres,rueyres,RUEYRES,COM,commune,76,Occitanie,46,Lot,4611,Lacapelle-Marival,200067361,CC Grand-Figeac,46120.0,7619.0,46128,46000,0.0,192,935,9,21.0,44.754,1.856,7,Rural à habitat très dispersé,12.342256498755507
16957,46244,Sabadel-Latronquière,sabadel-latronquiere,SABADEL-LATRONQUIÈRE,COM,commune,76,Occitanie,46,Lot,4611,Lacapelle-Marival,200067361,CC Grand-Figeac,46210.0,7611.0,12300,46000,0.0,92,1235,12,7.0,44.727,2.066,7,Rural à habitat très dispersé,13.238011876920748
16958,46245,Sabadel-Lauzès,sabadel-lauzes,SABADEL-LAUZÈS,COM,commune,76,Occitanie,46,Lot,4605,Causse et Vallées,244600573,CC du Causse de Labastide-Murat,46360.0,7607.0,46042,46000,0.0,86,875,9,10.0,44.56,1.608,7,Rural à habitat très dispersé,18.675549623990314
16959,46246,Saignes,saignes,SAIGNES,COM,commune,76,Occitanie,46,Lot,4616,Saint-Céré,200066371,CC Causses et Vallée de la Dordogne,46500.0,7619.0,46128,46000,0.0,75,361,4,21.0,44.789,1.821,7,Rural à habitat très dispersé,9.775275518363623
16960,46247,Saillac,saillac,SAILLAC,COM,commune,76,Occitanie,46,Lot,4613,Marches du Sud-Quercy,244600532,CC du Pays de Lalbenque-Limogne,46260.0,7611.0,12300,46000,0.0,149,1639,16,9.0,44.33,1.742,7,Rural à habitat très dispersé,23.137715142724186
16961,46249,Saint-Bressou,saint-bressou,SAINT-BRESSOU,COM,commune,76,Occitanie,46,Lot,4611,Lacapelle-Marival,200067361,CC Grand-Figeac,46120.0,7611.0,12300,46000,0.0,122,1012,10,12.0,44.697,1.976,7,Rural à habitat très dispersé,10.73126507359213
