nofinessej;rsej;activite;libactivite;modalite;libmodalite;forme;libforme;noautor;dateautor;nofinesset;rset;noligautor;noligautoranc;noautorarhgos;noimplarhgos;sectpsy;libsectpsy;datemeo;datefin
310000633;AAIR MIDI PYRENEES;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;44;Hémodialyse en unité d'auto dialyse assistée;14;Non saisonnier;762603212;2005-06-14;320784515;AAIR UAD UDM DD PAVIE;3212;;76-73-409;76-73-409;;;2009-06-16;2026-12-15
320780133;CH CONDOM;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);762603242;1989-03-24;320784549;USLD CH CONDOM;3242;;76-73-579;76-73-579;;;1991-08-02;2026-06-30
320780158;CH GIMONT;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);762603131;1901-01-01;320784952;USLD CH GIMONT;3131;;76-73-22;76-73-22;;;2014-01-01;2026-06-30
320780125;CH GERS;04;Psychiatrie;07;Infanto-juvénile;03;Hospitalisation à temps partiel de jour;762602530;1991-08-02;320785470;HJ PEA LA VILLA AUCH CHS GERS;2530;;76-73-584;76-73-584;;;1991-08-02;2029-02-02
330780552;FONDATION MSP BAGATELLE;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;02;Néonatologie sans soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);752610309;2023-02-09;330000340;MSP BORDEAUX BAGATELLE;10309;;75-72-77173;75-72-77173;;;2025-09-15;2032-09-14
330781204;CENTRE HOSPITALIER D'ARCACHON;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;752606077;2010-01-12;330000555;CENTRE HOSPITALIER D'ARCACHON;6077;;75-72-49530;75-72-49530;;;2013-05-22;2025-11-21
330781204;CENTRE HOSPITALIER D'ARCACHON;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;752606078;2010-01-12;330000555;CENTRE HOSPITALIER D'ARCACHON;6078;;75-72-49531;75-72-49531;;;2013-05-22;2025-11-21
330781204;CENTRE HOSPITALIER D'ARCACHON;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;02;Hospitalisation à temps partiel de jour ou de nuit;752610138;2023-07-18;330000555;CENTRE HOSPITALIER D'ARCACHON;10138;;75-72-77819;75-72-77819;;;;
330781204;CENTRE HOSPITALIER D'ARCACHON;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;02;Néonatologie sans soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);752610272;2022-09-26;330000555;CENTRE HOSPITALIER D'ARCACHON;10272;;75-72-76625;75-72-76625;;;;
330781220;CH DE LA HAUTE GIRONDE;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;752606940;2007-03-20;330000571;CH DE LA HAUTE GIRONDE;6940;;75-72-43064;75-72-43064;;;2007-03-20;2022-09-19
330781220;CH DE LA HAUTE GIRONDE;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);752608918;2001-01-09;330000571;CH DE LA HAUTE GIRONDE;8918;;75-72-38253;75-72-38253;;;2012-06-01;2022-11-30
330781220;CH DE LA HAUTE GIRONDE;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;752608919;2007-03-20;330000571;CH DE LA HAUTE GIRONDE;8919;;75-72-38256;75-72-38256;;;2007-03-20;2022-09-19
330027509;CH SUD GIRONDE LANGON-LA REOLE;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;752604572;2007-03-27;330000589;CH SUD GIRONDE - SITE LANGON;4572;;75-72-38202;75-72-38202;;;2007-03-27;2022-09-26
330027509;CH SUD GIRONDE LANGON-LA REOLE;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;752609125;2007-03-27;330000589;CH SUD GIRONDE - SITE LANGON;9125;;75-72-42663;75-72-42663;;;2007-03-20;2022-09-26
330027509;CH SUD GIRONDE LANGON-LA REOLE;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;02;Hospitalisation à temps partiel de jour ou de nuit;752610021;2022-06-28;330000589;CH SUD GIRONDE - SITE LANGON;10021;;75-72-76450;75-72-76450;;;2024-06-26;2031-06-25
330781253;CENTRE HOSPITALIER DE LIBOURNE;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;752604600;2007-03-20;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;4600;;75-72-38346;75-72-38346;;;2007-03-20;2022-09-19
330781253;CENTRE HOSPITALIER DE LIBOURNE;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;752605259;2007-03-20;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;5259;;75-72-43066;75-72-43066;;;2007-03-20;2022-09-19
