nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
IMAGIR;06201;Appareil d'IRM à utilisation clinique;752610835;75-72-77616;75-72-77616;2023-04-25;330065608;2024-07-23;
SERVICE DE SANTE DES ARMEES;06201;Appareil d'IRM à utilisation clinique;112610728;75-72-46681;75-72-46681;2013-04-02;330781303;2013-04-02;
SERVICE DE SANTE DES ARMEES;05602;Scanographe à utilisation médicale;112610729;75-72-46682;75-72-46682;2013-04-02;330781303;2013-04-02;
CHU DE BORDEAUX;05705;Tomographe à émissions;752610439;75-72-75769;75-72-75769;2021-12-17;330781337;2022-02-16;
CHU DE BORDEAUX;44901;Caisson hyperbare;752610438;75-72-45424;75-72-45424;2004-04-06;330781360;2007-04-19;
CENTRE REGIONAL DE LUTTE CONTRE CANCER;05701;Caméra à scintillation sans détecteur d'émission de positons;532610448;53-53-1065;53-53-1065;2001-06-25;350002812;2003-05-06;
CENTRE REGIONAL DE LUTTE CONTRE CANCER;05701;Caméra à scintillation sans détecteur d'émission de positons;532610449;53-53-1080;53-53-1080;2003-09-15;350002812;2003-09-15;
CENTRE REGIONAL DE LUTTE CONTRE CANCER;05701;Caméra à scintillation sans détecteur d'émission de positons;532610450;53-53-1085;53-53-1085;2004-02-03;350002812;2007-10-26;
CENTRE REGIONAL DE LUTTE CONTRE CANCER;05705;Tomographe à émissions;532610451;53-53-1235;53-53-1235;1998-12-29;350002812;2004-05-25;
SELAS CENTRE D'EXPLORATION ISOTOPIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;532610444;53-53-73767;53-53-73767;2020-05-29;350033148;2022-09-01;
SELAS CENTRE D'EXPLORATION ISOTOPIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;532610445;53-53-1050;53-53-1050;2000-12-29;350033148;2001-03-01;
SELAS CENTRE D'EXPLORATION ISOTOPIQUE;05705;Tomographe à émissions;532610446;53-53-1233;53-53-1233;2017-06-30;350033148;2007-12-10;
SELAS CENTRE D'EXPLORATION ISOTOPIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;532610447;53-53-1084;53-53-1084;2017-04-11;350033148;2006-09-25;
GCS CIMCE;05705;Tomographe à émissions;532610452;53-53-72076;53-53-72076;2019-10-08;350039871;2024-09-10;
GCS CIMCE;05701;Caméra à scintillation sans détecteur d'émission de positons;532610453;53-53-73768;53-53-73768;2020-05-29;350039871;2021-09-13;
GCS CIMCE;05701;Caméra à scintillation sans détecteur d'émission de positons;532610454;53-53-1236;53-53-1236;2004-02-03;350039871;2005-10-12;
GCS CIMCE;05705;Tomographe à émissions;532610455;53-53-76869;53-53-76869;2022-11-28;350039871;2023-07-10;
GIE IMAGER;05705;Tomographe à émissions;532610458;53-53-52512;53-53-52512;2014-11-27;350050530;2017-02-22;
